Freeness,Consistency,Correction
340,0.26,-27
350,0.26,-27
360,0.26,-28
370,0.26,-28
380,0.26,-29
390,0.26,-29
400,0.26,-29
420,0.26,-29
440,0.26,-29
460,0.26,-29
480,0.26,-29
500,0.26,-29
520,0.26,-28
540,0.26,-29
560,0.26,-28
580,0.26,-27
600,0.26,-27
620,0.26,-26
640,0.26,-25
660,0.26,-24
680,0.26,-24
700,0.26,-23
20,0.27,0
30,0.27,-6
40,0.27,-7
50,0.27,-8
60,0.27,-9
70,0.27,-9
80,0.27,-9
90,0.27,-10
100,0.27,-10
110,0.27,-11
120,0.27,-11
130,0.27,-12
140,0.27,-12
150,0.27,-12
160,0.27,13
170,0.27,-14
180,0.27,15
190,0.27,-15
200,0.27,-15
210,0.27,-15
220,0.27,-16
230,0.27,-17
240,0.27,-17
250,0.27,-17
260,0.27,-18
270,0.27,-19
280,0.27,-19
290,0.27,-19
300,0.27,-20
310,0.27,-20
320,0.27,-20
330,0.27,-20
340,0.27,-20
350,0.27,-20
360,0.27,-21
370,0.27,-21
380,0.27,-21
390,0.27,-21
400,0.27,-21
420,0.27,-21
440,0.27,-21
460,0.27,-21
480,0.27,-21
500,0.27,-21
520,0.27,-21
540,0.27,-21
560,0.27,-21
580,0.27,-20
600,0.27,-20
620,0.27,-19
640,0.27,-18
660,0.27,-17
680,0.27,-16
700,0.27,-16
20,0.28,0
30,0.28,-4
40,0.28,-5
50,0.28,-6
60,0.28,-6
70,0.28,-5
80,0.28,-6
90,0.28,-7
100,0.28,-7
110,0.28,-7
120,0.28,-7
130,0.28,-8
140,0.28,-8
150,0.28,-8
160,0.28,-9
170,0.28,-10
180,0.28,-10
190,0.28,-10
200,0.28,-10
210,0.28,-10
220,0.28,-10
230,0.28,-11
240,0.28,-11
250,0.28,-11
260,0.28,-12
270,0.28,-12
280,0.28,-12
290,0.28,13
300,0.28,-13
310,0.28,-13
320,0.28,-13
330,0.28,-13
340,0.28,-13
350,0.28,-13
360,0.28,-14
370,0.28,-14
380,0.28,-14
390,0.28,-14
400,0.28,-14
420,0.28,-14
440,0.28,-14
460,0.28,-14
480,0.28,-14
500,0.28,-14
520,0.28,-14
540,0.28,-14
560,0.28,-14
580,0.28,-13
600,0.28,-13
620,0.28,-12
640,0.28,-12
660,0.28,-11
680,0.28,-11
700,0.28,-11
20,0.29,0
30,0.29,-2
40,0.29,-2
50,0.29,-3
60,0.29,-3
70,0.29,-3
80,0.29,-3
90,0.29,-3
100,0.29,-3
110,0.29,-3
120,0.29,-3
130,0.29,-4
140,0.29,-4
150,0.29,-4
160,0.29,-4
170,0.29,-5
180,0.29,-5
190,0.29,-5
200,0.29,-5
210,0.29,-5
220,0.29,-5
230,0.29,-5
240,0.29,-5
250,0.29,-5
260,0.29,-6
270,0.29,-6
280,0.29,-6
290,0.29,-6
300,0.29,-6
310,0.29,-7
320,0.29,-7
330,0.29,-7
340,0.29,-7
350,0.29,-7
360,0.29,-7
370,0.29,-7
380,0.29,-7
390,0.29,-7
400,0.29,-7
420,0.29,-7
440,0.29,-7
460,0.29,-7
480,0.29,-7
500,0.29,-7
520,0.29,-7
540,0.29,-7
560,0.29,-7
580,0.29,-6
600,0.29,-6
620,0.29,-6
640,0.29,-6
660,0.29,-6
680,0.29,-5
700,0.29,-5
20,0.3,0
30,0.3,0
40,0.3,0
50,0.3,0
60,0.3,0
70,0.3,0
80,0.3,0
90,0.3,0
100,0.3,0
110,0.3,0
120,0.3,0
130,0.3,0
140,0.3,0
150,0.3,0
160,0.3,0
170,0.3,0
180,0.3,0
